eBird species code 2019,English name,scientific name,range,eBird species group
marowl1,Red Owl,Tyto soumagnei,E Madagascar (on verge of extinction),Owls
marowl2,Marsh Owl,Asio capensis,,Owls
marpig1,Maroon Pigeon,Columba thomensis,Forests of São Tomé I. (Gulf of Guinea),Pigeons and Doves
marrew2,Northern Marquesan Reed Warbler,Acrocephalus percernis,,Reed Warblers and Allies
marsan,Marsh Sandpiper,Tringa stagnatilis,"Palearctic; winters to s Africa, s Asia and Australasia",Shorebirds
marsee1,Marsh Seedeater,Sporophila palustris,"Locally in Paraguay, s Brazil, Uruguay and ne Argentina",Tanagers and Allies
marspa1,Marvelous Spatuletail,Loddigesia mirabilis,Andes of n Peru (along east bank of Río Utcubamba),Hummingbirds
marspi1,Marcapata Spinetail (Pale-crowned),Cranioleuca marcapatae weskei,Andes of south central Peru (Mantaro Valley in Junín south to Cordillera Vilcabamba in Cusco),Ovenbirds
marspi2,Marcapata Spinetail,Cranioleuca marcapatae,,Ovenbirds
marspi3,Marañon Spinetail,Synallaxis maranonica,S Ecuador (Zamora-Chinchipe) to nw Peru (n Cajamarca),Ovenbirds
marspi4,Marcapata Spinetail (Rufous-crowned),Cranioleuca marcapatae marcapatae,Andes of se Peru (Cuzco),Ovenbirds
marsto1,Marabou Stork,Leptoptilos crumenifer,Tropical Africa south of the Sahara,Storks
marsun2,Mariqua Sunbird,Cinnyris mariquensis,,Sunbirds and Spiderhunters
marswi,Mariana Swiftlet,Aerodramus bartschi,"S Mariana Islands (Saipan, Tinian, Aguijan and Guam)",Swifts
marswi2,Marquesan Swiftlet,Aerodramus ocistus,,Swifts
martap1,Marsh Tapaculo,Scytalopus iraiensis,"SW Brazil (river basins in Iguaçu and Tibagi, e Paraná)",Tapaculos
martch1,Marsh Tchagra (Marsh),Tchagra minutus minutus,"Sierra Leone east to South Sudan, eastern Sudan, and Ethiopia, south to western Kenya and northwestern Tanzania",Bushshrikes and Allies
martch2,Marsh Tchagra,Tchagra minutus,,Bushshrikes and Allies
martch3,Marsh Tchagra (Anchieta's),Tchagra minutus anchietae/reichenowi,,Bushshrikes and Allies
martea1,Marbled Teal,Marmaronetta angustirostris,Canary Islands and Mediterranean basin to extreme sw China,Waterfowl
marthr2,Marañon Thrush,Turdus maranonicus,N Peru (upper Marañón Valley) and adjacent Ecuador,Thrushes
martin1,martin sp. (Progne sp.),Progne sp.,,Martins and Swallows
martit2,Marsh Tit,Poecile palustris,,"Tits, Chickadees, and Titmice"
marwar1,Marmora's Warbler,Sylvia sarda,"Corsica, Sardinia, Montecristo, Pantelleria, Giannutri and Zembra",Sylviid Warblers
marwar2,Southern Marquesan Reed Warbler,Acrocephalus mendanae,,Reed Warblers and Allies
marwar3,Marsh Warbler,Acrocephalus palustris,Europe to central Russia; winters to coastal se Africa (Natal),Reed Warblers and Allies
marwar4,Martens's Warbler,Phylloscopus omeiensis,mtns. of w China (Sichuan) and Myanmar,Leaf Warblers
marwhi1,Lesser Whitethroat (Gansu),Sylvia curruca margelanica,north central China,Sylviid Warblers
marwid1,Marsh Widowbird,Euplectes hartlaubi,,Weavers and Allies
marwoo1,Maroon Woodpecker,Blythipicus rubiginosus,"S Myanmar, sw Thailand, Malay Peninsula, Sumatra and Borneo",Woodpeckers
marwre,Marsh Wren,Cistothorus palustris,,Wrens
marwre1,Marsh Wren (paludicola Group),Cistothorus palustris [paludicola Group],,Wrens
marwre2,Marsh Wren (plesius Group),Cistothorus palustris [plesius Group],,Wrens
marwre3,Marsh Wren (palustris Group),Cistothorus palustris [palustris Group],,Wrens
marwre4,Marsh Wren (tolucensis),Cistothorus palustris tolucensis,Central Mexico (Río Lerma marshes to Hidalgo and w Puebla),Wrens
marwre5,Marsh Wren (griseus),Cistothorus palustris griseus,Coastal marshes of ne South Carolina to e-central Florida,Wrens
masant1,Masked Antpitta,Hylopezus auricularis,N Bolivia (se Pando and n Beni),Gnateaters and Antpittas
masapa1,Masked Apalis,Apalis binotata,"SW Cameroon to ne Gabon, e Democratic Republic of the Congo, e Uganda and nw Tanzania",Cisticolas and Allies
masbob1,Northern Bobwhite (Masked),Colinus virginianus [coyoleos Group],,"Grouse, Quail, and Allies"
masboo,Masked Booby,Sula dactylatra,,"Frigatebirds, Boobies, and Gannets"
mascan1,Many-striped Canastero,Asthenes flammulata,,Ovenbirds
masduc,Masked Duck,Nomonyx dominicus,"northeastern Mexico south, west of the Andes, to western Ecuador, and, east of the Andes, to northern Argentina and Brazil; West Indies",Waterfowl
maseag1,Madagascar Serpent-Eagle,Eutriorchis astur,Rainforests of ne Madagascar (on verge of extinction),"Vultures, Hawks, and Allies"
masfin1,Masked Finch,Poephila personata,,Estrildids
masfin2,Masked Finch (Masked),Poephila personata personata,"N Australia (Kimberley, Western Australia to nw Queensland)",Estrildids
masfin3,Masked Finfoot,Heliopais personatus,Bangladesh and ne India to Indochina; winters to Sumatra,Finfoots
masfin4,Masked Finch (White-eared),Poephila personata leucotis,N Queensland (Cape York Peninsula),Estrildids
masflo1,Masked Flowerpiercer,Diglossa cyanea,,Tanagers and Allies
masfru1,Masked Fruiteater,Pipreola pulchra,Andes of e Peru (Amazonas to Cordillera Vilcabamba of Cusco),Cotingas
masgna1,Masked Gnatcatcher,Polioptila dumicola,,Gnatcatchers
mashum1,Many-spotted Hummingbird,Taphrospilus hypostictus,east slope of the Andes from Ecuador to southern Bolivia and northwestern Argentina,Hummingbirds
maslap1,Masked Lapwing,Vanellus miles,,Shorebirds
maslap2,Masked Lapwing (Masked),Vanellus miles miles,New Guinea and n Australia; visitor to s Wallacea,Shorebirds
maslap3,Masked Lapwing (Black-shouldered),Vanellus miles novaehollandiae,"E and se Australia, Tasmania and New Zealand",Shorebirds
maslar1,Masked Lark,Spizocorys personata,,Larks
maslau1,Masked Laughingthrush,Garrulax perspicillatus,Lowland scrub of s China to Indochina,Laughingthrushes and Allies
masmar1,Mascarene Martin,Phedina borbonica,,Martins and Swallows
masowl1,Malagasy Scops-Owl,Otus rutilus,Rainforests of e Madagascar,Owls
masowl2,Mantanani Scops-Owl,Otus mantananensis,,Owls
maspar2,Masked Shining-Parrot,Prosopeia personata,Fiji (Viti Levu); may have formerly occurred also on Ovalau and Bau,"Parrots, Parakeets, and Allies"
maspet,Markham's Storm-Petrel,Oceanodroma markhami,Breeds Paracas Peninsula (Peru); ranges to s Mexico and Chile,Storm-Petrels
maspet1,Mascarene Petrel,Pseudobulweria aterrima,Réunion (Mascarene Islands); ranges adjacent Indian Ocean,"Petrels, Shearwaters, and Diving-Petrels"
maspet2,Matsudaira's Storm-Petrel,Oceanodroma matsudairae,Breeds Volcano Islands (Japan); disperses to Indian Ocean,Storm-Petrels
maspet3,Masatierra Petrel,Pterodroma defilippiana,"Juan Fernández, San Ambrosio and San Félix islands (off Chile)","Petrels, Shearwaters, and Diving-Petrels"
masray1,Masafuera Rayadito,Aphrastura masafuerae,Alejandro Selkirk I. (Juan Fernández Islands off Chile),Ovenbirds
massal1,Masked Saltator,Saltator cinctus,Andes of extreme se Colombia to ne Peru,Tanagers and Allies
masshr1,Masked Shrike,Lanius nubicus,Greece to sw Iran; > to central Africa and sw Arabia,Shrikes
masswi1,Mascarene Swiftlet,Aerodramus francicus,,Swifts
mastan1,Masked Tanager,Stilpnia nigrocincta,"SE Colombia to s Venezuela, Guyana, n Bolivia and w Brazil",Tanagers and Allies
mastit1,Masked Tityra,Tityra semifasciata,,"Becards, Tityras, and Allies"
mastro1,Masked Trogon,Trogon personatus,,Trogons and Quetzals
maswar1,Madagascar Swamp Warbler,Acrocephalus newtoni,Aquatic habitats of Madagascar,Reed Warblers and Allies
maswhe2,Reunion Gray White-eye,Zosterops borbonicus,Réunion (w Mascarene Islands),"White-eyes, Yuhinas, and Allies"
maswhe3,Mauritius Gray White-eye,Zosterops mauritianus,Mauritius (w Mascarene Islands),"White-eyes, Yuhinas, and Allies"
maswoo1,Masked Woodswallow,Artamus personatus,Australian mainland (except most northern and eastern areas),Woodswallows
masyel1,Masked Yellowthroat,Geothlypis aequinoctialis,,Wood-Warblers
masyel2,Masked Yellowthroat (Masked),Geothlypis aequinoctialis aequinoctialis,"NE Colombia to Venezuela, Guianas, Suriname, n Brazil; Trinidad",Wood-Warblers
masyel3,Olive-crowned Yellowthroat (Chiriqui),Geothlypis semiflava chiriquensis,Pacific slope of extreme southern Costa Rica and western Panama (western Chiriquí),Wood-Warblers
masyel4,Masked Yellowthroat (Black-lored),Geothlypis aequinoctialis auricularis/peruviana,,Wood-Warblers
masyel5,Masked Yellowthroat (Southern),Geothlypis aequinoctialis velata,"SE Peru to Bolivia, Brazil, Paraguay, Uruguay and ne Argentina",Wood-Warblers
matdov1,Madagascar Turtle-Dove,Streptopelia picturata,,Pigeons and Doves
matfan1,Mussau Fantail,Rhipidura matthiae,"Mussau (St. Matthias group, northern Bismarck Archipelago)",Fantails
matfly1,Maracaibo Tody-Flycatcher,Todirostrum viridanum,Coastal nw Venezuela (Zulia and Falcón),"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
matfly2,Matinan Flycatcher,Cyornis sanfordi,Mountains of n Sulawesi,Old World Flycatchers
matpar1,Madarasz's Tiger-Parrot,Psittacella madaraszi,,"Parrots, Parakeets, and Allies"
matpar2,Maroon-tailed Parakeet,Pyrrhura melanura,,"Parrots, Parakeets, and Allies"
matpar3,Maroon-tailed Parakeet (Maroon-tailed),Pyrrhura melanura [melanura Group],,"Parrots, Parakeets, and Allies"
matpar4,Maroon-tailed Parakeet (Choco),Pyrrhura melanura pacifica,W slope of Andes of sw Colombia (Nariño) and nw Ecuador,"Parrots, Parakeets, and Allies"
matpar5,Maroon-tailed Parakeet (Huila),Pyrrhura melanura chapmani,Subtropical e slope of Central Andes of s Colombia,"Parrots, Parakeets, and Allies"
mattap1,Pale-bellied Tapaculo,Scytalopus griseicollis,,Tapaculos
matwoo1,Magenta-throated Woodstar,Philodice bryantae,Highlands of n Costa Rica and w Panama,Hummingbirds
mauala,Maui Alauahio,Paroreomyza montana,Humid montane forests of e Maui,"Finches, Euphonias, and Allies"
maubul1,Mauritius Bulbul,Hypsipetes olivaceus,Maccabe forest of sw Mauritius (w Mascarene Islands),Bulbuls
